feature,correct_mean,fault_mean,correct_median,fault_median,cliffs_delta_fault_minus_correct
early_conf_mean,0.314134595923771,0.025191089945534866,0.3283281773328781,0.0,-0.8531667708176409
early_iou_mean,0.5403168002984436,0.0331120963359864,0.6125439459458324,0.0,-0.8808067655356987
conf_mean,0.5269348238321526,0.11071463071267333,0.5657400697469711,0.06312524765729904,-0.9186476274966011
iou_mean,0.7450956517509161,0.16719257621943398,0.8129562311038537,0.11661643678719127,-0.9395691869342603
late_conf_mean,0.7177303691914639,0.29269678059050386,0.7577242851257324,0.20962120741605758,-0.7679176872532226
late_iou_mean,0.8867347331926012,0.44974723969586616,0.9328418655819405,0.40887764761695433,-0.6942903877949936
conf_delay,0.08541079190077389,0.5537061403508772,0.04,0.64,0.7771959581982626
iou_delay,0.05264496978691827,0.5433333333333333,0.02,0.62,0.8401293006448062
